deniedAt,stakedTokens,signalledTokens,id,ipfsHash
0,0.0,0.0,0x005ba58ea020d03313c9b04c464d10982214019908a93a54514eaaebaab6f382,QmNN3mAoPhkdS7Jiw4pivSMwAkcXEdxZU2rpzEVTdH5Cs3
0,0.0,0.0,0x007daf263b7dd23080f11195953a6f944c7917e5166e00141dbcb70b8eb64a33,QmNNZs8zVgjkRGdMsStCc1AHGHZq1ji28bkMLuKcZejbbQ
0,0.0,0.0,0x008f49562d4bdb43ae1b4b68097952d174fcec525019b0d270d2fe533a047d15,QmNNqS4Ftof3kGrTGrpynFYgeK5R6vVTEqADSN63vXEKC8
0,355001.0,0.0,0x00af0f6dd4f17631779f7cba1aaab5951bfa342ce34da27c9b3724d8460f0135,QmNPKXuiLWiNfENHoJDQVtEJGehaYcjEaDBaxfs91fFa9r
0,3.0,0.0,0x00d08ee33a4dc65cbc6c5067d73c64ef90d701dcdd092b5331e5c466e3c5c206,QmNPqACZnvVZiP4RB22b3JMxKv2GfM1XSLYNkDHdCWn4kd
0,0.0,29.7,0x012bfb7d6d4824bcb56069b7b9ea542dc5f829117cd09445328e521009230937,QmNRE1rKYFLf9ZxJgvjmFKp6ewXAg91EwQgSgHDfw9Yj4A
0,7.478484192e7,147259.05774078224,0x014e8a3184d5fad198123419a7b54d5f7c9f8a981116462591fbb1a922c39811,QmNRkaVUwUQAwPwWgdQHYvw53A5gh3CP3giWnWQZdA2BTE
0,3.34685901e6,7827.6566609050915,0x0191dd1ff8c637eee0fc54fd11e0e1a8d13a962bb984c6885beaf463708ac97c,QmNSn7ua6cwLFCL4uzCBwtCUQKczzbC5wf7vUVEf81635d
0,2.027198e6,3960.0,0x01a9b1b406f0dc7915f87aa49ee276ec081907e1911c46e5a8b28e9579530835,QmNT9CJGXK8WmtuLKQxLesqudLBCdH33oDPGcmuGSAajhe
0,3.0,0.0,0x01a9e7222cb991358d1c33f8a866ae32be4e518c3168230ef6976c913d3ba2a8,QmNT9P1DTBBtrPxWhDAZPJgrtQPTej5uFFBv9dkfo4ZGRm
16108822,0.0,0.0,0x01ad46884a236a261c5a862ce07e905db8aa8639d3f38bf7ff70f14328721d4d,QmNTCN1KfEFGRdeEdvAXAxTogxuko8QiyGxykUBzcuFPH6
0,0.0,0.0,0x0289cc3a316c2093e968c72b9509ff17ad4c57e6f24a763c82b99642cef17375,QmNWZPoabaXgvXDbJBeBKJYU1Mdw8EzYehk9s579n9f5Ux
0,4.191428e6,9900.122475454089,0x02c4aa509eb6b830f14ca52a6060b04135119510a40956ad91b04ac55d658aed,QmNXTTSeFiso5wrbBVjEsXL7rmUrVR8W26ofajZooNxpAY
0,1.2934069010000002e7,23221.000767710357,0x02efe1896133acb02563543b41c6d21854b685995842d580ad5e38d165a6a79b,QmNY7gDNXHECV8SXoEY7hbfg4BX1aDMxTBDiFuG4huaSGA
0,100100.00000000001,938.8586576160001,0x038cc553c0e3e7d590d0fd0bb2453d69ee820a45901c511ed7a67e3e6b5530ca,QmNaWRxJNA6Xbmgxcttk9jXShdVxAykEo2PMq2jcuhV8Mf
0,99999.99999999999,487.5034125,0x03bd6020e24ca3c75ac8607af474af1bd23e73f3fc4901392b46d8da90144586,QmNbFR9zwM6SJXaHTQWRuQ9MLSVkeekPoSX9NE34G6Zoad
0,988565.0,1981.9539305922328,0x03c653ea807efe4815dbeb0364e2f5f7e9498756cb37ce237066e302bdbfdb25,QmNbPLNKU4GLrZbi6o4Kw7Z42GC3Wd7J21aXqie1Tj3Avp
14331469,0.0,0.0,0x03c93a532ae544d5aedf04473eeb26970b0393a256e23ccf65186ef9655a165e,QmNbRu8KkhZAjQJB9uziYqeRFE7UVKBjSGZQ9E5zrjzvso
0,0.0,65.83290540661524,0x03d46beef036a3d580ae345083b4270ba59c847eee1b5c3ee2ff2eabc88a123b,QmNbboKP3wHhk9z6i3zjfYiD2M3oXT5KZbRBpURLe2frGJ
0,0.0,0.0,0x040284abe01a283f5e045a188b4775e86c9cef2bf2192a16f23d6bc51a213f13,QmNcJZsFmhUeg219WFtRfEeDsR62gHndqh38rJTTk29aD8
0,0.0,0.0,0x04373d1c6436e9333992e19a7f6c37e20603b57a18aabc4d2bb0e219c0216f73,QmNd7CBxJPDuPoEfwjLX1ockBc315X5fBDzW4QN9ZKwFLW
0,267000.0,999.999,0x0437ec079c3d898526fe5ea62a185a18f05134d83980196047cedd236a08ac0a,QmNd7oEoBX2qSWzYFdGPTC6FdrLavSEcFxFtEvLN262AXb
0,0.0,0.0,0x04efa95b5e2a20015f343615c0490c227e32ab6f44fbd86b55b7c00ab594999d,QmNfvJFTkZkaV5GZHgdBzhdkA5xCWAuudkZxT6t5QSTzYL
0,0.0,0.0,0x04f9b222f15f6218f445b31b6f6b45e956cab70efccdd20b33805dc781d03d1f,QmNg5Axt6XZYkj75EAE4ZKVG4Kfe1KDD5yP7vHNMcPk9aE
0,0.0,0.0,0x051e6643139c66af371277dff69d736b7c4b139bfcfe997a6744ab513be5bd58,QmNgddhE5ycNAhvuprWZfkGyvAVgotKBgbZ74wa5C9GXNf
0,2.0,0.000400027295802706,0x05783b0e507a848fc0b0242499a9e7675b0586850d0b2840d71de6659a29339b,QmNi15daaGMoYoJQoi12UtVDoSvfZ3yrY6rbFMDCp7zT7p
0,0.0,0.0,0x057f5b6166b15a930653ecd7b5b24dedd1b01b4afc98e61b2af7570ba47aa12a,QmNi7PBDPiqQKaiMBEDL8YB3BiPLzYzPGNwcd4sMmGkoGd
0,1.0,0.003412500000000291,0x0596c20b7be7d067567cb00652ffb7091a2dadcb797557efcfbab4e592a9b090,QmNiU5YXnQk7ghyWfbqDrKG8ZH5b8ji389YYxhJCjYgeHu
0,1.0,0.0,0x06339ae8a2da36cea82c38a4f1e234aaa69b27b996dc62f0d6a5560bcc1f25aa,QmNkro6UU3CjFt27jSA16CTdpvbadTP2P9GZ2SKgynTkTT
0,219682.0,495.0,0x06367c586bb9d18e13fcb9d79a19d0c834a4955b39bcc2cc5e2521209d2c69e0,QmNkuLrhDxoD6z6WdsSjXkeSG1uwEopgsx151HKAJSQXou
0,0.01,0.0,0x067900e0ae282ddecf49cb370f0eedfb01c23dfa3e2d0952623f1c404511195a,QmNmvAv61EDYHBGRFEUJCmFKdko8FNymGeDMuQDouawtWV
0,0.01,29.7,0x0693164312f734259f2edb8eaf81593771f63150c90d9619ddf2940488d1a790,QmNnKEtDKUjEWE4FQY4Ai3aPC6Jz5mVgrZAp92MZwrH3uq
0,6.1043782087e7,111109.66405932,0x06e9f2d25aa1c0e6063e663f46544ea4ea18e4697b54ba1f7eb2be94b91558b8,QmNoe4VQFSKAC3uiq48UQASg4QeqFVSKYYGwnxNjNi6GYX
0,0.0,0.0,0x0721421f40c75b7fad12559af67e632243a1250dced33650d69460184021c2f7,QmNpUyddN6EyBqaYRsEUGVSuqXkJK6t9Taa1m1RJcvtmsC
0,0.0,1.95,0x079fcde811f88407fc67787df747942685b4f5b8ca85d54724056c091a01f61a,QmNrQtsd2PMn5EM8i1xHK2vskCvGPZiAHFGQQjupiEv2C1
0,10001.0,71.10635723904824,0x07a115441341a7c904c3b8c512e0523b72aea72854f11fd236a593555c9f681d,QmNrS2U5DHqn5DJiKKD1ZS4BpHeAGDsKjftHMwX8LqSZqv
